date,open,high,low,close
2015-04-24,1791.307,1816.176,1778.725,1808.811
2015-04-27,1824.617,1842.681,1806.684,1820.943
2015-04-28,1822.974,1823.412,1742.284,1759.241
2015-04-29,1754.282,1797.758,1747.446,1794.008
2015-04-30,1801.443,1818.675,1798.693,1798.747
2015-05-04,1804.952,1815.014,1784.926,1810.828
2015-05-05,1809.499,1811.941,1753.019,1763.509
2015-05-06,1771.786,1810.601,1750.693,1762.117
2015-05-07,1758.015,1770.662,1738.802,1742.466
2015-05-08,1762.822,1823.474,1762.822,1823.474
2015-05-11,1842.768,1916.434,1839.529,1916.434
2015-05-12,1929.865,1960.862,1914.819,1960.375
2015-05-13,1955.098,2010.299,1935.803,1989.983
2015-05-14,1999.845,2015.795,1979.091,1996.103
2015-05-15,1989.258,2002.796,1952.106,1984.287
2015-05-18,1983.566,2045.882,1979.547,2044.664
2015-05-19,2056.921,2096.562,2035.486,2095.615
2015-05-20,2112.585,2188.37,2112.585,2145.413
2015-05-21,2159.548,2242.07,2159.548,2242.07
2015-05-22,2278.392,2296.363,2210.52,2256.087
2015-05-25,2229.138,2299.73,2212.208,2298.753
2015-05-26,2316.917,2386.296,2314.693,2386.239
2015-05-27,2402.092,2411.737,2343.435,2399.537
2015-05-28,2397.529,2431.559,2251.675,2251.675
2015-05-29,2249.806,2324.979,2158.297,2281.885
2015-06-01,2306.216,2396.739,2306.216,2396.739
2015-06-02,2417.071,2486.923,2406.603,2486.923
2015-06-03,2502.863,2508.599,2420.947,2484.501
2015-06-04,2488.882,2490.179,2332.154,2468.254
2015-06-05,2497.648,2520.202,2438.482,2486.685
2015-06-08,2486.149,2486.149,2408.138,2435.598
2015-06-09,2427.341,2463.965,2408.467,2435.966
2015-06-10,2426.346,2505.453,2408.004,2485.411
2015-06-11,2490.321,2526.778,2485.27,2526.77
2015-06-12,2536.329,2570.672,2533.832,2554.292
2015-06-15,2565.424,2567.321,2487.992,2492.533
2015-06-16,2463.276,2463.276,2373.666,2395.761
2015-06-17,2396.501,2439.759,2317.321,2430.54
2015-06-18,2422.297,2434.477,2330.774,2334.691
2015-06-19,2289.267,2304.898,2187.435,2191.338
2015-06-23,2189.094,2214.831,2065.194,2214.536
2015-06-24,2232.767,2259.342,2185.95,2245.419
2015-06-25,2250.488,2252.301,2131.364,2157.371
2015-06-26,2086.431,2091.504,1977.264,1982.24
2015-06-29,2019.103,2020.125,1820.825,1847.252
2015-06-30,1797.657,1951.15,1724.065,1948.797
2015-07-01,1930.943,2004.048,1849.2,1863.421
2015-07-02,1855.99,1870.849,1739.116,1760.016
2015-07-03,1700.909,1796.375,1637.151,1673.42
2015-07-06,1786.064,1786.064,1582.855,1642.735
2015-07-07,1589.573,1602.384,1542.939,1549.034
2015-07-08,1498.796,1537.609,1497.392,1532.608
2015-07-09,1524.843,1577.509,1524.843,1577.437
2015-07-10,1609.699,1634.301,1605.115,1633.083
2015-07-13,1682.85,1706.872,1670.563,1703.134
2015-07-14,1740.26,1771.731,1726.25,1738.511
2015-07-15,1750.825,1750.825,1661.897,1664.036
2015-07-16,1639.785,1725.863,1592.508,1695.765
2015-07-17,1709.692,1796.145,1705.832,1785.347
2015-07-20,1801.158,1847.06,1783.397,1818.972
2015-07-21,1804.061,1856.86,1786.147,1843.328
2015-07-22,1842.976,1870.519,1818.503,1861.378
2015-07-23,1864.933,1913.485,1853.026,1906.874
2015-07-24,1913.626,1938.118,1865.407,1878.866
2015-07-27,1845.147,1892.257,1747.095,1747.105
2015-07-28,1670.25,1765.483,1634.08,1708.762
2015-07-29,1732.801,1780.687,1671.196,1780.48
2015-07-30,1773.56,1805.618,1720.393,1723.498
2015-07-31,1699.827,1747.029,1692.452,1716.183
2015-08-03,1691.205,1708.432,1650.252,1678.573
2015-08-04,1680.38,1760.286,1673.149,1760.241
2015-08-05,1758.8,1781.926,1726.356,1737.485
2015-08-06,1702.276,1749.714,1696.434,1727.676
2015-08-07,1746.291,1777.632,1742.846,1777.376
2015-08-10,1795.249,1862.852,1787.267,1853.442
2015-08-11,1859.116,1881.924,1848.949,1857.593
2015-08-12,1846.756,1872.007,1832.752,1832.831
2015-08-13,1830.275,1874.943,1814.451,1874.943
2015-08-14,1890.412,1903.646,1870.749,1880.789
2015-08-17,1876.654,1897.61,1860.526,1895.611
2015-08-18,1898.965,1902.725,1762.076,1769.097
2015-08-19,1715.636,1815.251,1673.732,1806.191
2015-08-20,1789.192,1817.875,1753.213,1753.213
2015-08-21,1720.836,1741.469,1655.479,1658.752
